,City,Lat,Max Temp,Humidity,Cloudliness,Wind Speed,Country
363,Camopi,3.17,80.29,92,82,6.11,GF
364,Vidim,56.41,54.07,94,8,3.18,RU
365,Atar,20.52,110.7,13,32,8.34,MR
366,Walvis Bay,-22.96,82.4,20,0,9.17,NA
367,Sabzawār,36.21,87.49,24,0,15.86,IR
368,Te Anau,-45.42,34.88,86,69,4.07,NZ
369,Half Moon Bay,37.46,63.0,87,90,12.75,US
370,Lidköping,58.51,66.99,52,36,14.99,SE
371,Areosa,41.72,87.01,73,0,4.7,PT
372,Weru,-6.71,77.25,77,100,7.23,ID
373,Los Llanos de Aridane,28.66,77.0,69,40,17.22,ES
374,Grindavik,63.84,55.4,58,75,12.75,IS
375,São João da Barra,-21.64,86.0,42,0,2.24,BR
376,Buta,2.79,73.24,94,100,2.3,CD
377,Shimoda,34.67,72.0,88,72,7.05,JP
378,Bunia,1.57,64.18,93,99,3.65,CD
379,Vicuña,-30.03,57.2,67,75,6.93,CL
380,Puerto Escondido,15.85,84.2,74,40,4.99,MX
381,Mutare,-18.97,52.61,69,41,5.26,ZW
382,Sinnamary,5.38,82.87,77,39,7.29,GF
383,Hofn,64.25,50.72,84,100,9.31,IS
384,Saint-Raphaël,19.43,85.24,62,33,4.32,HT
385,Cayenne,4.93,84.2,70,40,5.82,GF
386,Aragats,40.49,82.4,32,20,24.16,AM
387,Māyakonda,14.28,75.92,86,100,10.83,IN
388,Cortez,37.35,71.01,60,75,6.93,US
389,Aleksandrov Gay,50.15,77.68,42,63,7.58,RU
390,Sabha,27.04,93.67,12,0,15.23,LY
391,Coyhaique,-45.58,33.8,74,75,4.7,CL
392,Erenhot,43.65,80.76,40,43,9.53,CN
393,Svrljig,43.41,86.0,45,20,10.29,RS
394,Berdigestyakh,62.1,55.69,94,10,4.0,RU
395,Asău,46.43,66.0,91,56,1.88,RO
396,Biak,-0.91,76.89,82,77,6.15,ID
397,Olinda,-8.01,82.4,61,40,14.99,BR
398,Mount Gambier,-37.83,44.6,100,90,6.93,AU
399,Kautokeino,69.01,48.81,90,100,21.81,NO
400,Alofi,-19.06,73.4,100,30,5.82,NU
401,Bay City,43.59,81.0,65,90,10.29,US
402,Jieshi,22.81,83.07,86,6,4.12,CN
